date,ward_id,period,sar_water_extent
2015-02-17,93,2014-2016,0.0
2015-02-17,61,2014-2016,0.0
2015-02-17,86,2014-2016,0.0
2015-02-17,90,2014-2016,0.08974695631006971
2015-02-17,26,2014-2016,0.0
2015-02-17,72,2014-2016,0.0
2015-02-17,134,2014-2016,0.0
2015-02-17,99,2014-2016,0.0
2015-02-17,125,2014-2016,0.0
2015-02-17,118,2014-2016,0.0
2015-02-17,83,2014-2016,0.0
2015-02-17,43,2014-2016,0.0
2015-02-17,47,2014-2016,0.0
2015-02-17,115,2014-2016,0.0
2015-02-17,68,2014-2016,0.0
2015-02-17,39,2014-2016,0.0
2015-02-17,12,2014-2016,0.0
2015-02-17,108,2014-2016,0.1471729766431814
2015-02-17,110,2014-2016,0.012564631703992489
2015-02-17,141,2014-2016,0.002723634953525742
2015-02-17,17,2014-2016,0.0
2015-02-17,7,2014-2016,0.003661564557768094
2015-02-17,16,2014-2016,0.0
2015-02-17,137,2014-2016,0.00014436653533496494
2015-02-17,84,2014-2016,0.0
2015-02-17,18,2014-2016,0.0
2015-02-17,25,2014-2016,0.0
2015-02-17,60,2014-2016,0.0
2015-02-17,10,2014-2016,0.0
2015-02-17,62,2014-2016,0.0
2015-02-17,71,2014-2016,0.0
2015-02-17,91,2014-2016,0.0
2015-02-17,75,2014-2016,0.0029281383435640516
2015-02-17,96,2014-2016,0.0
2015-02-17,88,2014-2016,0.0
2015-02-17,44,2014-2016,0.0
2015-02-17,85,2014-2016,0.0
2015-02-17,89,2014-2016,0.0
2015-02-17,67,2014-2016,0.0
2015-02-17,76,2014-2016,0.0
2015-02-17,74,2014-2016,0.0
2015-02-17,87,2014-2016,0.0029434665536151646
2015-02-17,132,2014-2016,0.0
2015-02-17,69,2014-2016,0.0
2015-02-17,22,2014-2016,0.0
2015-02-17,119,2014-2016,0.0
2015-02-17,54,2014-2016,0.0
2015-02-17,122,2014-2016,0.0
2015-02-17,29,2014-2016,0.0
2015-02-17,109,2014-2016,0.02452784698756944
2015-02-17,32,2014-2016,0.0
2015-02-17,57,2014-2016,0.11223564203436606
2015-02-17,136,2014-2016,0.0
2015-02-17,106,2014-2016,0.0
2015-02-17,4,2014-2016,0.0
2015-02-17,52,2014-2016,0.0
2015-02-17,38,2014-2016,0.0
2015-02-17,81,2014-2016,0.0
2015-02-17,127,2014-2016,0.0
2015-02-17,53,2014-2016,0.0
2015-02-17,34,2014-2016,0.0
2015-02-17,135,2014-2016,0.0
2015-02-17,117,2014-2016,0.007927336500694646
2015-02-17,105,2014-2016,0.0
2015-02-17,20,2014-2016,0.0
2015-02-17,102,2014-2016,0.0
2015-02-17,46,2014-2016,0.0
2015-02-17,73,2014-2016,0.0
2015-02-17,82,2014-2016,0.0
2015-02-17,124,2014-2016,0.0
2015-02-17,56,2014-2016,0.0
2015-02-17,3,2014-2016,0.0
2015-02-17,36,2014-2016,0.0
2015-02-17,41,2014-2016,0.0
2015-02-17,37,2014-2016,0.0
2015-02-17,139,2014-2016,0.0
2015-02-17,23,2014-2016,0.0
2015-02-17,40,2014-2016,0.0
2015-02-17,121,2014-2016,0.0
2015-02-17,33,2014-2016,0.06890405328691726
2015-02-17,103,2014-2016,0.0
2015-02-17,13,2014-2016,0.0
2015-02-17,66,2014-2016,0.005239894708939255
2015-02-17,123,2014-2016,0.0
2015-02-17,63,2014-2016,0.006473995550250405
2015-02-17,21,2014-2016,5.0632037421678575e-05
2015-02-17,49,2014-2016,0.0
2015-02-17,70,2014-2016,0.0
2015-02-17,45,2014-2016,0.0006288071612196362
2015-02-17,100,2014-2016,0.0
2015-02-17,92,2014-2016,0.0
2015-02-17,9,2014-2016,0.00019940943114167846
2015-02-17,114,2014-2016,0.0
2015-02-17,101,2014-2016,0.0
2015-02-17,138,2014-2016,0.0
2015-02-17,31,2014-2016,0.0
2015-02-17,104,2014-2016,0.0
2015-02-17,5,2014-2016,0.0
2015-02-17,126,2014-2016,0.0
2015-02-17,14,2014-2016,0.0
2015-02-17,111,2014-2016,0.0
2015-02-17,130,2014-2016,0.0
2015-02-17,19,2014-2016,0.0016815301439719321
2015-02-17,78,2014-2016,0.0
2015-02-17,27,2014-2016,0.0
2015-02-17,98,2014-2016,0.0
2015-02-17,6,2014-2016,0.0009949785414869832
2015-02-17,2,2014-2016,0.0
2015-02-17,59,2014-2016,0.0
2015-02-17,131,2014-2016,0.0
2015-02-17,42,2014-2016,0.0
2015-02-17,129,2014-2016,0.0
2015-02-17,51,2014-2016,0.0
2015-02-17,120,2014-2016,0.0
2015-02-17,8,2014-2016,0.0003478177695750755
2015-02-17,1,2014-2016,0.0001436522689775929
