ward_id,date,year,month,elevation_mean,elevation_min,elevation_max,elevation_range,flow_max,flow_mean,flow_sum,flow_log,rainfall_mean,rainfall_max,rainfall_std,is_wetland_interface,flooded
93,2023-09-02,2023,9,6.6610256405028485,5.28000020980835,8.710000038146973,3.429999828338623,2669.36958530941,24.312354336075124,54994.54550820193,3.4265713728823872,686.6099841762334,720.5499816890806,33.939997512847185,0,1
61,2023-09-02,2023,9,6.31367741369432,5.059999942779541,8.779999732971191,3.7199997901916504,5023.387288330312,130.67538948677498,101273.4268522506,3.701083108177812,652.6699866633862,652.6699866633862,0.0,0,0
86,2023-09-02,2023,9,6.9031865134234724,5.210000038146973,8.510000228881836,3.3000001907348633,4563.601291511554,142.26315589600728,151794.78734103977,3.6594028488016104,652.6699866633862,652.6699866633862,0.0,0,0
90,2023-09-02,2023,9,6.158298479711399,3.9800000190734863,13.899999618530273,9.919999599456787,2990.2968133901586,116.69749017266078,161859.4188694805,3.475859508324523,652.6699866633862,652.6699866633862,0.0,0,0
26,2023-09-02,2023,9,8.523434598869253,7.869999885559082,9.399999618530273,1.5299997329711914,1049.8795050287952,34.43158479982059,14736.718294323213,3.021552922211781,652.6699866633862,652.6699866633862,0.0,0,0
72,2023-09-02,2023,9,6.913931617709646,5.889999866485596,7.920000076293945,2.0300002098083496,554.7889550449914,16.354052855851723,11480.54510480791,2.7449099119795415,,,,0,0
134,2023-09-02,2023,9,5.406095453043046,4.099999904632568,8.40999984741211,4.309999942779541,871.3133888914887,10.627339416742188,4899.203471118149,2.940672538390156,,,,0,0
99,2023-09-02,2023,9,5.909780623054155,5.300000190734863,7.519999980926514,2.2199997901916504,2687.075266681518,92.55621310914383,101256.49714140335,3.4294414248902756,720.5499816890806,720.5499816890806,0.0,0,0
125,2023-09-02,2023,9,3.875761934434497,1.9299999475479126,5.340000152587891,3.410000205039978,1860.0597170473523,40.40817609300178,140539.6364514602,3.2697603088470717,787.716648231571,821.2999815028161,47.49400538189051,0,0
118,2023-09-02,2023,9,6.884370731725926,5.739999771118164,10.029999732971191,4.289999961853027,1183.346826599826,43.996182848989555,45096.087420214295,3.0734789007160197,652.6699866633862,652.6699866633862,0.0,0,0
83,2023-09-02,2023,9,6.234295541887841,0.5,7.239999771118164,6.739999771118164,12585.619460292917,126.75164080326594,73769.45494750078,4.099909102079085,,,,0,0
43,2023-09-02,2023,9,9.30818815596843,7.590000152587891,11.34000015258789,3.75,115.68440655989909,13.917208253040442,3994.238768622607,2.0670128217910717,,,,0,0
47,2023-09-02,2023,9,8.618553715303909,8.140000343322754,9.520000457763672,1.380000114440918,855.2894094503068,32.8443083352775,15896.645234274312,2.9326205727199786,,,,0,0
115,2023-09-02,2023,9,5.72748455875446,4.110000133514404,6.900000095367432,2.7899999618530273,1985.4194060377731,28.09829449526839,50043.062496073006,3.2980709493445106,720.5499816890806,720.5499816890806,0.0,0,0
68,2023-09-02,2023,9,5.516975097172625,3.75,7.159999847412109,3.4099998474121094,5899.842837974337,147.10440062791557,165345.3463057771,3.770914047869055,652.6699866633862,652.6699866633862,0.0,0,1
39,2023-09-02,2023,9,7.5068464437461,7.420000076293945,7.769999980926514,0.34999990463256836,1915.4265279755602,128.7533548477146,31029.55851829922,3.2824921739131283,652.6699866633862,652.6699866633862,0.0,0,0
12,2023-09-02,2023,9,6.268596209186109,0.5,8.020000457763672,7.520000457763672,11369.434750314133,-2797.3918515042747,-1773546.43385371,4.055777070321227,,,,0,0
108,2023-09-02,2023,9,1.9057794861782908,0.0,6.070000171661377,6.070000171661377,56988.39279627737,728.3884120690514,10517200.281865032,4.755794029729911,618.4366551010559,652.6699866633862,15.309611293931939,1,0
110,2023-09-02,2023,9,3.696329709263866,1.5,6.920000076293945,5.420000076293945,9880.042153942173,166.53062460181897,352545.33228205075,3.994802752061067,720.5499816890806,720.5499816890806,0.0,0,0
141,2023-09-02,2023,9,3.837313909979232,0.5,7.760000228881836,7.260000228881836,5657.916675700357,68.24614013896176,215453.06441870227,3.7527332992454605,662.889987135306,662.889987135306,0.0,0,0
17,2023-09-02,2023,9,8.498105044778624,7.840000152587891,8.880000114440918,1.0399999618530273,1759.3896763005332,93.33217235279778,40879.491490525426,3.2456088130044853,,,,0,0
7,2023-09-02,2023,9,8.118447931435815,0.5,9.079999923706055,8.579999923706055,157.86799359977223,-2145.3074449323185,-1091961.48947055,2.2010364107182965,604.3899866938591,604.3899866938591,0.0,0,0
16,2023-09-02,2023,9,7.2061994673428185,6.159999847412109,8.3100004196167,2.15000057220459,2325.4204725901473,126.33505744572497,46870.306312363966,3.3666882110039995,652.6699866633862,652.6699866633862,0.0,0,0
137,2023-09-02,2023,9,5.6722325058247955,0.5,8.520000457763672,8.020000457763672,438.9355416507127,14.859925805485329,11248.963834752394,2.6433890493132117,662.889987135306,662.889987135306,0.0,0,0
84,2023-09-02,2023,9,6.7642857125827245,6.179999828338623,7.760000228881836,1.580000400543213,554.6626711620098,15.77891602158777,8836.192972089151,2.744811222315547,,,,0,0
18,2023-09-02,2023,9,8.75763890478346,8.350000381469727,9.199999809265137,0.8499994277954102,1051.0577592206296,38.68340846724848,11140.821638567562,3.022039583755174,,,,0,0
25,2023-09-02,2023,9,8.577804893012939,7.690000057220459,9.960000038146973,2.2699999809265137,236.8459156538774,13.439437221261647,6612.2031128607305,2.376295698012749,,,,0,0
