feature,importance
building_size_variability,0.09222041
neighbor_avg_runoff,0.09031273
canal_count_river,0.06755527
canal_count_major,0.06352926
neighbor_avg_canal_density,0.061097868
canal_count,0.05905481
clay_std,0.049200922
mean_confidence,0.0468094
ward_area_km2,0.04226669
lc_30_pct,0.029055886
external_flow_north,0.028399924
building_coverage_pct,0.02357889
neighbor_avg_imperviousness,0.023151593
imperviousness_estimate,0.021799777
silt_pct,0.02022163
built_up_pct,0.018018706
neighbor_max_imperviousness,0.017852435
lc_40_pct,0.014837033
mean_area_m2,0.014027649
lc_50_pct,0.013674622
building_count,0.009552074
sand_pct,0.009521124
median_area_m2,0.009110246
clay_pct,0.009040441
distance_to_canal_m,0.008806947
building_density_per_km2,0.0074520907
neighbor_max_runoff,0.007116053
canal_count_drain,0.006256133
canal_length_major_km,0.0061725993
ward_area_m2,0.0055575324
infiltration_index,0.0055525075
lc_60_pct,0.005395074
distance_to_hooghly_m,0.0053880224
neighbor_imperviousness_std,0.004537228
runoff_vs_neighbors,0.0044215065
rain_7day_avg,0.00438859
rain_d0,0.0037634242
max_area_m2,0.0036807244
neighbor_canal_wards,0.0036232441
bulk_density_g_cm3,0.0034054343
lc_90_pct,0.0031551018
rain_7day,0.0031231516
std_area_m2,0.0029780478
total_area_m2,0.002971735
rain_14day,0.0029395265
neighbor_min_imperviousness,0.0029123607
imperviousness_vs_neighbors,0.0028404687
rain_3day_prev,0.0028181411
lc_60_count,0.002803403
max_1day_in_week,0.0027710462
cropland_pct,0.002770443
neighbor_pipe_fraction,0.0026951758
runoff_coefficient,0.0025094978
has_named_canal,0.0024372062
rainfall_increasing,0.002377826
water_pct,0.0021894362
neighbor_canal_fraction,0.0021424962
neighbor_runoff_std,0.0020847109
neighbor_avg_building_coverage,0.0019385477
neighbor_count,0.0018504609
lc_10_count,0.001845252
rain_3day,0.001787638
rain_d1,0.0017553999
vegetation_pct,0.0017379398
lc_80_count,0.0016942847
lc_40_count,0.0016910274
rain_d3,0.0015605375
neighbor_max_canal_density,0.0014964937
rain_d2,0.0014770417
lc_80_pct,0.0014438265
is_very_heavy,0.0013990282
lc_30_count,0.0013526757
days_since_50mm,0.0012428798
lc_10_pct,0.001186026
canal_density,0.0011724284
canal_length_km,0.0011582936
imperviousness_worldcover,0.0010175687
lc_50_count,0.00092312205
has_river,0.00077536626
is_heavy_rain,0.000748786
canal_length_drain_km,0.00043657856
is_boundary_ward,0.00038252777
has_major_canal,0.0
ward_area_km2_bldg,0.0
lower_runoff_than_neighbors,0.0
higher_imperv_than_neighbors,0.0
likely_receives_flow,0.0
external_flow_east,0.0
external_flow_south,0.0
river_proximity_high,0.0
hooghly_width,0.0
has_canal,0.0
lc_100_pct,0.0
hooghly_wse_zscore,0.0
lc_70_pct,0.0
lc_70_count,0.0
lc_90_count,0.0
lc_95_pct,0.0
lc_95_count,0.0
lc_100_count,0.0
total_pixels,0.0
hooghly_wse_anomaly,0.0
wetland_pct,0.0
lc_20_count,0.0
hooghly_wse,0.0
is_extreme,0.0
lc_20_pct,0.0
tidal_influence_ward,0.0
