feature,importance
WARD,0.076731615
infiltration_index,0.06905037
bulk_density_g_cm3,0.064654395
ward_area_km2,0.053269584
building_size_variability,0.03918964
neighbor_max_imperviousness,0.03619994
canal_count,0.035803333
sand_pct,0.034919806
canal_density,0.031809103
mean_area_m2,0.02993086
building_count,0.028188754
lc_50_pct,0.027703322
median_area_m2,0.025649013
canal_count_major,0.02413014
mean_confidence,0.023717394
max_area_m2,0.02143143
lc_30_pct,0.018462317
clay_std,0.016771153
total_area_m2,0.015903218
neighbor_avg_runoff,0.014146736
is_very_heavy,0.013914518
clay_pct,0.013735687
lc_40_pct,0.013598047
distance_to_hooghly_m,0.013052668
std_area_m2,0.012931587
neighbor_avg_canal_density,0.012750655
distance_to_canal_m,0.0125116855
lc_50_count,0.011290566
building_coverage_pct,0.0110500725
lc_90_pct,0.010926747
lc_10_pct,0.010106388
canal_length_major_km,0.009394066
silt_pct,0.008764283
neighbor_imperviousness_std,0.008263939
neighbor_canal_fraction,0.008026342
imperviousness_vs_neighbors,0.007881734
canal_count_river,0.0065100985
built_up_pct,0.006496914
rain_7day,0.0061232476
neighbor_canal_wards,0.005730338
rainfall_increasing,0.0053079547
lc_10_count,0.0052782707
max_1day_in_week,0.0051542846
rain_d0,0.005124365
rain_7day_avg,0.0049979393
lc_30_count,0.0048084124
rain_14day,0.0046272995
rain_3day_prev,0.0042838203
neighbor_pipe_fraction,0.0039206697
runoff_coefficient,0.0032341762
rain_3day,0.0031613202
lc_60_pct,0.0030431082
has_named_canal,0.0030266228
rain_d1,0.0030052634
lc_60_count,0.0029895029
neighbor_avg_building_coverage,0.0028790615
imperviousness_estimate,0.002763226
is_heavy_rain,0.0026659216
days_since_50mm,0.0025208886
rain_d3,0.0024748577
neighbor_runoff_std,0.0023286855
neighbor_avg_imperviousness,0.00232714
neighbor_count,0.0022393034
imperviousness_worldcover,0.0022343972
lc_80_pct,0.002199337
runoff_vs_neighbors,0.0020827595
neighbor_max_runoff,0.0020155853
rain_d2,0.0019173543
ward_area_m2,0.0016546865
vegetation_pct,0.001645149
neighbor_min_imperviousness,0.0015872146
neighbor_max_canal_density,0.0015324177
building_density_per_km2,0.0014038377
has_major_canal,0.0013448707
water_pct,0.001241033
lc_80_count,0.0011918191
canal_length_km,0.0010076503
lc_40_count,0.0009492768
has_river,0.00094441365
is_extreme,0.0008202466
canal_length_drain_km,0.00070792064
cropland_pct,0.00063627487
hooghly_wse_zscore,0.0
total_pixels,0.0
river_proximity_high,0.0
external_flow_south,0.0
external_flow_north,0.0
external_flow_east,0.0
is_boundary_ward,0.0
likely_receives_flow,0.0
higher_imperv_than_neighbors,0.0
lower_runoff_than_neighbors,0.0
lc_70_pct,0.0
lc_70_count,0.0
lc_90_count,0.0
ward_area_km2_bldg,0.0
hooghly_wse_anomaly,0.0
lc_95_pct,0.0
lc_95_count,0.0
lc_20_pct,0.0
lc_100_pct,0.0
lc_100_count,0.0
wetland_pct,0.0
lc_20_count,0.0
canal_count_drain,0.0
hooghly_width,0.0
has_canal,0.0
hooghly_wse,0.0
tidal_influence_ward,0.0
