ward_id,neighbor_count,neighbor_avg_canal_density,neighbor_max_canal_density,neighbor_canal_wards,neighbor_avg_imperviousness,neighbor_max_imperviousness,neighbor_min_imperviousness,neighbor_avg_runoff,neighbor_max_runoff,neighbor_avg_building_coverage,neighbor_canal_fraction,neighbor_pipe_fraction,neighbor_imperviousness_std,neighbor_runoff_std,imperviousness_vs_neighbors,runoff_vs_neighbors,lower_runoff_than_neighbors,higher_imperv_than_neighbors,likely_receives_flow,is_boundary_ward,boundary_position,external_flow_east,external_flow_north,external_flow_south,river_proximity_high,tidal_influence_ward
93,6,0.03163569393754462,0.1210269618206361,2,73.4970506245203,94.05740378343118,44.490761108666966,0.7296910277104898,0.8640777886497065,36.546557524493096,0.16666666666666666,0.6666666666666666,20.174916547270932,0.12347727239596074,10.548788446894221,0.058546725584808335,0,1,0,0,interior,0,0,0,0,0
61,4,0.01732232812915055,0.0692893125166022,1,79.90220339320004,97.081362346263,47.368217429151755,0.7637239631537444,0.8884815515610217,35.65002988037772,0.0,0.75,19.228156305191675,0.1296460303096571,12.518306489355098,0.07976644074198758,0,1,0,0,interior,0,0,0,0,0
86,4,0.0,0.0,0,75.1035683241459,94.98266811924334,46.34001603849239,0.7476683945240158,0.8623848667921166,33.155499378043885,0.0,1.0,20.037887145004294,0.1072331156990032,10.146509339724872,0.044337404378335,0,1,0,0,interior,0,0,0,0,0
90,8,0.023726770453158463,0.1210269618206361,2,85.36885479111551,94.98266811924334,65.68441766080433,0.8000406505565287,0.8623848667921166,39.75617010531897,0.125,0.75,8.542716704269338,0.04901329080452174,-39.02883875262312,-0.16900215817481257,1,0,1,0,interior,0,0,0,0,0
26,6,0.0,0.0,0,98.81237844839218,99.89870853380602,94.7382085677196,0.8930908296701188,0.8993036211699164,49.82184785176228,0.0,1.0,1.829177074160652,0.009486508560162659,-4.670490081151698,-0.03613986462056218,1,0,1,0,interior,0,0,0,0,0
72,6,0.41242537768075854,1.5865103423726443,3,86.04658809215125,97.57109004739335,66.4293852253566,0.796919538914056,0.8817831753554501,39.57604168254495,0.0,0.5,10.798201379514412,0.08023495010496126,10.670495174844447,0.08121292406954528,0,1,0,0,interior,0,0,0,0,0
134,3,0.0,0.0,0,82.3454462809516,95.38377192982456,61.6073834682444,0.7969888708312934,0.866735197368421,42.68668806661956,0.0,1.0,14.825104129392344,0.07143634943837068,13.167312505759995,0.07136693080568302,0,1,0,1,interior,0,0,0,0,0
99,5,0.3601536197432319,1.067005301854821,2,88.4498463400715,94.05740378343118,80.04288244616389,0.8188054007096313,0.8640777886497065,43.20049884849508,0.2,0.6,4.657482388571328,0.036666244897028674,4.971711393032862,0.037341684854567014,0,1,0,0,interior,0,0,0,0,0
125,2,0.2314742439487515,0.462948487897503,1,59.42081193693619,67.61100281568118,51.2306210581912,0.6046696405970529,0.6598223954949102,31.474676001329428,0.5,0.5,8.190190878744989,0.05515275489785737,3.813309350587332,0.027068643768277112,0,1,0,1,south,0,0,1,0,0
118,5,0.43426793024980903,1.0443262032870502,3,82.47449702174725,91.45841597249768,75.4265081991876,0.7771418894548439,0.8380735158006084,42.989018978417334,0.0,0.4,5.7347029543928905,0.0413938406455773,10.314235372618953,0.07065334348123409,0,1,0,0,interior,0,0,0,0,0
83,6,0.7567609828770072,1.5865103423726443,3,87.78834242152747,97.57109004739335,65.68441766080433,0.8188052173351696,0.8817831753554501,40.947391582953834,0.0,0.5,10.673134677283128,0.061845196084431266,7.480351401383203,0.04593947572277646,0,1,0,0,interior,0,0,0,0,0
43,4,0.0,0.0,0,89.03051156942409,99.97138769670958,67.90525624962712,0.823155503452997,0.899785407725322,40.11973910466216,0.0,1.0,12.45705616519511,0.08528669601415809,10.93066855479951,0.07655334747868003,0,1,0,0,interior,0,0,0,0,0
47,3,0.0,0.0,0,87.52208889615686,98.1818181818182,69.06320224719101,0.8119029328612833,0.8863636363636364,39.04819222181193,0.0,1.0,13.104543491229068,0.09173057955013925,10.916335870517386,0.07647630683823847,0,1,0,1,interior,0,0,0,0,0
115,5,0.26754393611084426,1.0443262032870502,2,68.05343742101067,80.94751277895524,56.639380079820555,0.6726238832432649,0.7656744794913354,36.7825658721446,0.0,0.6,8.845907321193089,0.05930068966476309,16.98713179631551,0.1282093460664343,0,1,0,0,interior,0,0,0,0,0
68,6,0.0638284179169408,0.3829705075016448,1,78.03525208038613,91.13837764144512,46.34001603849239,0.7616254166897054,0.8365882753919567,36.62674298054079,0.16666666666666666,0.8333333333333334,16.471821281455316,0.08683071750252612,16.947416038857213,0.10075945010241116,0,1,0,0,interior,0,0,0,0,0
39,5,0.0,0.0,0,96.3995950393694,99.71996386630532,92.9241560718983,0.8781478393073716,0.8979787714543813,45.17208681777655,0.0,1.0,2.3922220110316377,0.018697089329365108,2.132096707096622,0.011774641312783496,0,1,0,0,interior,0,0,0,0,0
12,6,0.5876564117573095,1.255904950278675,4,88.32894282917302,99.08710217755444,65.52843329501657,0.8258062924818027,0.8931846733668343,43.766530886572326,0.6666666666666666,0.3333333333333333,11.138448995167893,0.07832214908753984,-4.306615949703286,-0.036830189219985265,1,0,1,0,interior,0,0,0,0,0
108,5,0.7803745741928806,1.6982610427642573,4,68.97487877207564,87.76616747724755,34.49145771355716,0.7007001031299517,0.8427601483122262,33.07864310645516,0.8,0.2,20.097683490248485,0.1253159521938206,-44.95197342595554,-0.19502033156767773,1,0,1,0,interior,0,0,0,0,0
110,4,0.4126165153316651,1.067005301854821,3,76.50842224185399,90.92479874337326,58.20029027576197,0.7405361599807885,0.8341089076510242,35.86716021306705,0.25,0.25,13.652729504455294,0.08974446749243188,-7.413601441098365,-0.04091135019960557,1,0,0,0,interior,0,0,0,0,0
141,3,0.0,0.0,0,70.21495795361817,80.88274238634692,50.410079638654466,0.6883869634586621,0.7849713108724437,40.50589388916756,0.0,1.0,14.01809918624805,0.11085916381675598,-30.77873526158153,-0.20467308044245353,1,0,1,1,west,0,0,0,1,1
