year,month,month_name,total_mm
2015,1,Jan,52.20552441419877
2015,2,Feb,8.349289185230875
2015,3,Mar,67.1646304055515
2015,4,Apr,253.18339040556424
2015,5,May,146.97464630905927
2015,6,Jun,476.47987962099154
2015,7,Jul,1435.3600777304828
2015,8,Aug,511.46362263286875
2015,9,Sep,456.56155007352373
2015,10,Oct,100.97027483817897
2015,11,Nov,8.809800409999482
2015,12,Dec,5.6546706192772485
2016,1,Jan,11.080024255805311
2016,2,Feb,139.99626057822414
2016,3,Mar,41.068092114320656
2016,4,Apr,6.24018483995679
2016,5,May,316.5364078355473
2016,6,Jun,307.78260173586693
2016,7,Jul,722.3154067171448
2016,8,Aug,942.9288867116488
2016,9,Sep,396.8190141126441
2016,10,Oct,190.5355589862033
2016,11,Nov,119.19217093588674
2016,12,Dec,0.19185070856331496
2017,1,Jan,3.198676811338351
2017,2,Feb,0.19499897276128
2017,3,Mar,132.53914511154628
2017,4,Apr,38.08429373720954
2017,5,May,172.20174677952826
2017,6,Jun,458.2859186836231
2017,7,Jul,1096.2579005451564
2017,8,Aug,620.5814810540957
2017,9,Sep,328.16610494270304
2017,10,Oct,543.5257056494127
2017,11,Nov,87.58812764721232
2017,12,Dec,36.250090072521886
2018,1,Jan,0.40751430627690904
2018,2,Feb,5.045378191405998
2018,3,Mar,9.14396909129585
2018,4,Apr,219.27855094577086
2018,5,May,219.61061678202688
2018,6,Jun,505.49851654714894
2018,7,Jul,765.847175685929
2018,8,Aug,430.72914818438545
2018,9,Sep,387.5207539135552
2018,10,Oct,161.95023235261195
2018,11,Nov,9.464752291502519
2018,12,Dec,25.93626412557503
2019,1,Jan,2.76655002134654
2019,2,Feb,213.34135331586958
2019,3,Mar,96.51615641871943
2019,4,Apr,113.91284876742642
2019,5,May,213.4382027006348
2019,6,Jun,201.52567723257837
2019,7,Jul,282.60180434593565
2019,8,Aug,849.5705903712545
2019,9,Sep,620.6102516545357
2019,10,Oct,341.324399569129
2019,11,Nov,237.34789631798566
2019,12,Dec,10.754492629205156
2020,1,Jan,88.84376987158977
2020,2,Feb,15.8911427465736
2020,3,Mar,73.94257602804285
2020,4,Apr,170.54928932616824
2020,5,May,505.940087964863
2020,6,Jun,552.5163128545054
2020,7,Jul,540.3848824419256
2020,8,Aug,795.921797450786
2020,9,Sep,242.8760986187436
2020,10,Oct,144.20901081133024
2020,11,Nov,40.67819619042978
2020,12,Dec,0.00547034752598996
2021,1,Jan,0.7059376107088141
2021,2,Feb,3.823433419676442
2021,3,Mar,0.1089979528900853
2021,4,Apr,44.27272490701297
2021,5,May,474.5376654584741
2021,6,Jun,741.7806254230736
2021,7,Jul,1058.7072422125136
2021,8,Aug,617.1796734229699
2021,9,Sep,1024.3242098413568
2021,10,Oct,500.49836150912955
2021,11,Nov,24.430824666019294
2021,12,Dec,155.72217942236261
2022,1,Jan,50.13821242021584
2022,2,Feb,86.00112483754435
2022,3,Mar,0.8038517132525024
2022,4,Apr,12.990885187460373
2022,5,May,378.3482312221605
2022,6,Jun,266.9731497456508
2022,7,Jul,408.0173466751668
2022,8,Aug,668.0951035628705
2022,9,Sep,476.0212594217436
2022,10,Oct,280.2824226870965
2022,11,Nov,2.5289774559855327
2022,12,Dec,0.0259969314070588
2023,1,Jan,0.0020000000949949026
2023,2,Feb,0.9792423111419688
2023,3,Mar,96.28789674841317
2023,4,Apr,103.01027903873818
2023,5,May,191.89866300658008
2023,6,Jun,436.0992015672234
2023,7,Jul,349.16087914109306
2023,8,Aug,653.0862418176428
2023,9,Sep,561.0577480277077
2023,10,Oct,278.53379768899174
2023,11,Nov,18.750694945867885
2023,12,Dec,55.64093947402584
2024,1,Jan,20.792044442722187
2024,2,Feb,28.982136342270724
2024,3,Mar,70.72553026435635
2024,4,Apr,6.721727807103353
2024,5,May,518.1040676368328
2024,6,Jun,234.18939157070855
2024,7,Jul,562.2122057480927
2024,8,Aug,1052.6616323305416
2024,9,Sep,694.9660875581696
2024,10,Oct,510.8831467994133
2024,11,Nov,1.7519018047075938
2024,12,Dec,16.071032283581978
