date,gap_days,year,month
2014-08-13,,2014,8
2014-08-14,1.0,2014,8
2014-08-14,0.0,2014,8
2014-08-19,5.0,2014,8
2014-08-19,0.0,2014,8
2014-09-02,14.0,2014,9
2014-09-02,0.0,2014,9
2014-09-06,4.0,2014,9
2014-09-06,0.0,2014,9
2014-10-15,39.0,2014,10
2014-10-18,3.0,2014,10
2014-10-18,0.0,2014,10
2014-10-21,3.0,2014,10
2014-11-08,18.0,2014,11
2014-11-14,6.0,2014,11
2014-11-29,15.0,2014,11
2014-11-29,0.0,2014,11
2014-12-02,3.0,2014,12
2014-12-04,2.0,2014,12
2014-12-04,0.0,2014,12
2014-12-08,4.0,2014,12
2014-12-26,18.0,2014,12
2015-01-01,6.0,2015,1
2015-01-06,5.0,2015,1
2015-01-06,0.0,2015,1
2015-01-10,4.0,2015,1
2015-01-10,0.0,2015,1
2015-01-15,5.0,2015,1
2015-01-15,0.0,2015,1
2015-01-19,4.0,2015,1
2015-02-12,24.0,2015,2
2015-02-17,5.0,2015,2
2015-02-17,0.0,2015,2
2015-02-18,1.0,2015,2
2015-03-02,12.0,2015,3
2015-03-08,6.0,2015,3
2015-03-26,18.0,2015,3
2015-03-31,5.0,2015,3
2015-03-31,0.0,2015,3
2015-04-01,1.0,2015,4
2015-04-04,3.0,2015,4
2015-04-04,0.0,2015,4
2015-04-09,5.0,2015,4
2015-04-09,0.0,2015,4
2015-04-19,10.0,2015,4
2015-04-25,6.0,2015,4
2015-04-28,3.0,2015,4
2015-05-12,14.0,2015,5
2015-05-12,0.0,2015,5
2015-05-13,1.0,2015,5
2015-05-19,6.0,2015,5
2015-06-06,18.0,2015,6
2015-06-12,6.0,2015,6
2015-06-27,15.0,2015,6
2015-06-27,0.0,2015,6
2015-06-30,3.0,2015,6
2015-06-30,0.0,2015,6
2015-07-06,6.0,2015,7
2015-07-12,6.0,2015,7
2015-07-24,12.0,2015,7
2015-07-24,0.0,2015,7
2015-07-30,6.0,2015,7
2015-07-30,0.0,2015,7
2015-08-17,18.0,2015,8
2015-08-23,6.0,2015,8
2015-09-05,13.0,2015,9
2015-09-05,0.0,2015,9
2015-09-07,2.0,2015,9
2015-09-09,2.0,2015,9
2015-10-10,31.0,2015,10
2015-10-13,3.0,2015,10
2015-10-13,0.0,2015,10
2015-10-17,4.0,2015,10
2015-10-17,0.0,2015,10
2015-10-28,11.0,2015,10
2015-11-27,30.0,2015,11
2015-11-28,1.0,2015,11
2015-11-28,0.0,2015,11
2015-12-15,17.0,2015,12
2015-12-27,12.0,2015,12
2016-01-05,9.0,2016,1
2016-01-05,0.0,2016,1
2016-01-14,9.0,2016,1
2016-01-14,0.0,2016,1
2016-02-01,18.0,2016,2
2016-02-07,6.0,2016,2
2016-02-13,6.0,2016,2
2016-02-20,7.0,2016,2
2016-02-20,0.0,2016,2
2016-02-25,5.0,2016,2
2016-03-02,6.0,2016,3
2016-03-24,22.0,2016,3
2016-04-02,9.0,2016,4
2016-04-02,0.0,2016,4
2016-04-13,11.0,2016,4
2016-04-19,6.0,2016,4
2016-05-10,21.0,2016,5
2016-05-10,0.0,2016,5
2016-05-13,3.0,2016,5
2016-05-19,6.0,2016,5
2016-05-25,6.0,2016,5
2016-05-25,0.0,2016,5
2016-05-31,6.0,2016,5
