ward_id,neighbor_count,neighbor_loss_km2,avg_neighbor_loss_km2
"93
",6,0,0.0
"61
",4,0,0.0
"86
",4,0,0.0
"90
",8,0,0.0
"26
",6,0,0.0
"72
",6,0,0.0
"134
",3,0,0.0
"99
",5,0,0.0
"125
",2,0,0.0
"118
",5,0,0.0
"83
",6,0,0.0
"43
",4,0,0.0
"47
",3,0,0.0
"115
",5,0,0.0
"68
",6,0,0.0
"39
",5,0,0.0
"12
",6,0,0.0
"108
",5,0,0.0
"110
",4,0,0.0
"141
",3,0,0.0
"17
",6,0,0.0
"7
",5,0,0.0
"16
",5,0,0.0
"137
",5,0,0.0
"84
",7,0,0.0
"18
",7,0,0.0
"25
",6,0,0.0
"60
",5,0,0.0
"10
",7,0,0.0
"62
",6,0,0.0
"71
",5,0,0.0
"91
",6,0,0.0
"75
",4,0,0.0
"96
",6,0,0.0
"88
",6,0,0.0
"44
",7,0,0.0
"85
",4,0,0.0
"89
",8,0,0.0
"67
",5,0,0.0
"76
",5,0,0.0
"74
",10,0,0.0
"87
",6,0,0.0
"132
",3,0,0.0
"69
",9,0,0.0
"22
",5,0,0.0
"119
",6,0,0.0
"54
",5,0,0.0
"122
",4,0,0.0
"29
",6,0,0.0
"109
",7,0,0.0
"32
",5,0,0.0
"57
",7,0,0.0
"136
",4,0,0.0
"106
",5,0,0.0
"4
",4,0,0.0
"52
",4,0,0.0
"38
",6,0,0.0
"81
",9,0,0.0
"127
",2,0,0.0
"53
",4,0,0.0
"34
",3,0,0.0
"135
",4,0,0.0
"117
",5,0,0.0
"105
",5,0,0.0
"20
",4,0,0.0
"102
",7,0,0.0
"46
",5,0,0.0
"73
",5,0,0.0
"82
",4,0,0.0
"124
",2,0,0.0
"56
",4,0,0.0
"3
",3,0,0.0
"36
",8,0,0.0
"41
",5,0,0.0
"37
",5,0,0.0
"139
",4,0,0.0
"23
",5,0,0.0
"40
",6,0,0.0
"121
",7,0,0.0
"33
",5,0,0.0
"103
",3,0,0.0
"13
",4,0,0.0
"66
",6,0,0.0
"123
",5,0,0.0
"63
",10,0,0.0
"21
",3,0,0.0
"49
",5,0,0.0
"70
",4,0,0.0
"45
",5,0,0.0
"100
",6,0,0.0
"92
",7,0,0.0
"9
",4,0,0.0
"114
",4,0,0.0
"101
",6,0,0.0
"138
",4,0,0.0
"31
",4,0,0.0
"104
",6,0,0.0
"5
",6,0,0.0
"126
",4,0,0.0
"14
",5,0,0.0
"111
",3,0,0.0
"130
",5,0,0.0
"19
",3,0,0.0
"78
",3,0,0.0
"27
",6,0,0.0
"98
",6,0,0.0
"6
",4,0,0.0
"2
",3,0,0.0
"59
",7,0,0.0
"131
",6,0,0.0
"42
",5,0,0.0
"129
",3,0,0.0
"51
",3,0,0.0
"120
",6,0,0.0
"8
",3,0,0.0
"1
",2,0,0.0
"80
",8,0,0.0
"55
",6,0,0.0
"64
",6,0,0.0
"107
",6,0,0.0
"77
",4,0,0.0
"28
",7,0,0.0
"112
",4,0,0.0
"133
",4,0,0.0
"65
",6,0,0.0
"24
",7,0,0.0
"128
",6,0,0.0
"50
",7,0,0.0
"113
",4,0,0.0
"94
",4,0,0.0
"79
",6,0,0.0
"11
",5,0,0.0
"15
",6,0,0.0
"140
",3,0,0.0
"97
",9,0,0.0
"48
",5,0,0.0
"35
",7,0,0.0
"116
",6,0,0.0
"95
",5,0,0.0
"30
",5,0,0.0
"58
",5,0,0.0
