period,ward_id,permanent_water_m2,total_area_m2,permanent_water_fraction,mean_water_frequency,max_water_frequency
2014-2016,"93
",0,2033200,0.0,0.0,0.0
2014-2016,"61
",0,698200,0.0,0.0,0.0
2014-2016,"86
",0,965700,0.0,0.0,0.0
2014-2016,"90
",0,1247000,0.0,0.051061086647015336,0.5121951103210449
2014-2016,"26
",0,383400,0.0,0.0,0.0
2014-2016,"72
",0,628100,0.0,0.0,0.0
2014-2016,"134
",0,415400,0.0,0.0,0.0
2014-2016,"99
",0,989900,0.0,0.0,0.0
2014-2016,"125
",0,3134700,0.0,0.0,0.0
2014-2016,"118
",0,923000,0.0,0.0,0.0
2014-2016,"83
",0,522900,0.0,0.0,0.0
2014-2016,"43
",0,257600,0.0,0.0,0.0
2014-2016,"47
",0,439300,0.0,0.0,0.0
2014-2016,"115
",0,1602200,0.0,0.0,0.0
2014-2016,"68
",0,1009700,0.0,0.0,0.0
2014-2016,"39
",0,219300,0.0,0.0,0.0
2014-2016,"12
",0,573300,0.0,0.0,0.0
2014-2016,"108
",838400,12992600,0.064529039607161,0.11924949105644751,0.9268292784690857
2014-2016,"110
",0,1905700,0.0,0.005594257043066934,0.5121951103210449
2014-2016,"141
",0,2838000,0.0,0.0025120749282030426,0.5121951103210449
2014-2016,"17
",0,394900,0.0,0.0,0.0
2014-2016,"7
",0,458400,0.0,0.0009736942995281119,0.4390243887901306
2014-2016,"16
",0,335700,0.0,0.0,0.0
2014-2016,"137
",0,679700,0.0,5.7414136810549674e-05,0.24390244483947754
2014-2016,"84
",0,506400,0.0,0.0,0.0
2014-2016,"18
",0,258300,0.0,0.0,0.0
2014-2016,"25
",0,442800,0.0,0.0,0.0
2014-2016,"60
",0,633100,0.0,0.0,0.0
2014-2016,"10
",0,477600,0.0,0.0,0.0
2014-2016,"62
",0,422800,0.0,0.0,0.0
2014-2016,"71
",0,1130400,0.0,0.0,0.0
2014-2016,"91
",0,1173600,0.0,0.0,0.0
2014-2016,"75
",0,613000,0.0,0.0010703060405289368,0.4878048896789551
2014-2016,"96
",0,1226400,0.0,0.0,0.0
2014-2016,"88
",0,532400,0.0,0.0,0.0
2014-2016,"44
",0,568100,0.0,0.0,0.0
2014-2016,"85
",0,776800,0.0,0.0,0.0
2014-2016,"89
",0,759700,0.0,0.0,0.0
2014-2016,"67
",0,1997500,0.0,0.0,0.0
2014-2016,"76
",0,474600,0.0,0.0,0.0
2014-2016,"74
",0,3643000,0.0,0.0,0.0
2014-2016,"87
",0,813100,0.0,0.0025377131640258684,0.3414634168148041
2014-2016,"132
",0,996300,0.0,0.0,0.0
2014-2016,"69
",0,2194300,0.0,0.0,0.0
2014-2016,"22
",0,376500,0.0,0.0,0.0
2014-2016,"119
",0,683600,0.0,0.0,0.0
2014-2016,"54
",0,409400,0.0,0.0,0.0
2014-2016,"122
",0,3432700,0.0,0.0003623685137517877,0.0731707289814949
2014-2016,"29
",0,613700,0.0,0.0,0.0
2014-2016,"109
",0,7716800,0.0,0.009262338061315895,0.4878048896789551
2014-2016,"32
",0,1811700,0.0,0.0009854644078019243,0.4390243887901306
2014-2016,"57
",0,2977900,0.0,0.06237821663205405,0.5121951103210449
2014-2016,"136
",0,575600,0.0,0.0,0.0
2014-2016,"106
",0,2077400,0.0,0.0,0.0
2014-2016,"4
",0,1032700,0.0,0.0,0.0
2014-2016,"52
",0,258500,0.0,0.0,0.0
2014-2016,"38
",0,535100,0.0,0.0,0.0
2014-2016,"81
",0,1385000,0.0,0.0,0.0
2014-2016,"127
",0,3723600,0.0,0.0,0.0
2014-2016,"53
",0,375500,0.0,0.0,0.0
2014-2016,"34
",0,858400,0.0,0.0,0.0
2014-2016,"135
",0,364800,0.0,0.0,0.0
2014-2016,"117
",0,796000,0.0,0.006704252808537315,0.4878048896789551
2014-2016,"105
",0,725400,0.0,0.0,0.0
2014-2016,"20
",0,322300,0.0,0.0,0.0
2014-2016,"102
",0,1072700,0.0,0.0,0.0
